date,winter,spring,summer
02/08/1991,1,0,0
02/15/1991,1,0,0
02/22/1991,1,0,0
03/01/1991,0,1,0
03/08/1991,0,1,0
03/15/1991,0,1,0
03/22/1991,0,1,0
03/29/1991,0,1,0
04/05/1991,0,1,0
04/12/1991,0,1,0
04/19/1991,0,1,0
04/26/1991,0,1,0
05/03/1991,0,1,0
05/10/1991,0,1,0
05/17/1991,0,1,0
05/24/1991,0,1,0
05/31/1991,0,1,0
06/07/1991,0,0,1
06/14/1991,0,0,1
06/21/1991,0,0,1
06/28/1991,0,0,1
07/05/1991,0,0,1
07/12/1991,0,0,1
07/19/1991,0,0,1
07/26/1991,0,0,1
08/02/1991,0,0,1
08/09/1991,0,0,1
08/16/1991,0,0,1
08/23/1991,0,0,1
08/30/1991,0,0,1
09/06/1991,0,0,0
09/13/1991,0,0,0
09/20/1991,0,0,0
09/27/1991,0,0,0
10/04/1991,0,0,0
10/11/1991,0,0,0
10/18/1991,0,0,0
10/25/1991,0,0,0
11/01/1991,0,0,0
11/08/1991,0,0,0
11/15/1991,0,0,0
11/22/1991,0,0,0
11/29/1991,0,0,0
12/06/1991,1,0,0
12/13/1991,1,0,0
12/20/1991,1,0,0
12/27/1991,1,0,0
01/03/1992,1,0,0
01/10/1992,1,0,0
01/17/1992,1,0,0
01/24/1992,1,0,0
01/31/1992,1,0,0
02/07/1992,1,0,0
02/14/1992,1,0,0
02/21/1992,1,0,0
02/28/1992,1,0,0
03/06/1992,0,1,0
03/13/1992,0,1,0
03/20/1992,0,1,0
03/27/1992,0,1,0
04/03/1992,0,1,0
04/10/1992,0,1,0
04/17/1992,0,1,0
04/24/1992,0,1,0
05/01/1992,0,1,0
05/08/1992,0,1,0
05/15/1992,0,1,0
05/22/1992,0,1,0
05/29/1992,0,1,0
06/05/1992,0,0,1
06/12/1992,0,0,1
06/19/1992,0,0,1
06/26/1992,0,0,1
07/03/1992,0,0,1
07/10/1992,0,0,1
07/17/1992,0,0,1
07/24/1992,0,0,1
07/31/1992,0,0,1
08/07/1992,0,0,1
08/14/1992,0,0,1
08/21/1992,0,0,1
08/28/1992,0,0,1
09/04/1992,0,0,0
09/11/1992,0,0,0
09/18/1992,0,0,0
09/25/1992,0,0,0
10/02/1992,0,0,0
10/09/1992,0,0,0
10/16/1992,0,0,0
10/23/1992,0,0,0
10/30/1992,0,0,0
11/06/1992,0,0,0
11/13/1992,0,0,0
11/20/1992,0,0,0
11/27/1992,0,0,0
12/04/1992,1,0,0
12/11/1992,1,0,0
12/18/1992,1,0,0
12/25/1992,1,0,0
01/01/1993,1,0,0
01/08/1993,1,0,0
01/15/1993,1,0,0
01/22/1993,1,0,0
01/29/1993,1,0,0
02/05/1993,1,0,0
02/12/1993,1,0,0
02/19/1993,1,0,0
02/26/1993,1,0,0
03/05/1993,0,1,0
03/12/1993,0,1,0
03/19/1993,0,1,0
03/26/1993,0,1,0
04/02/1993,0,1,0
04/09/1993,0,1,0
04/16/1993,0,1,0
04/23/1993,0,1,0
04/30/1993,0,1,0
05/07/1993,0,1,0
05/14/1993,0,1,0
05/21/1993,0,1,0
05/28/1993,0,1,0
06/04/1993,0,0,1
06/11/1993,0,0,1
06/18/1993,0,0,1
06/25/1993,0,0,1
07/02/1993,0,0,1
07/09/1993,0,0,1
07/16/1993,0,0,1
07/23/1993,0,0,1
07/30/1993,0,0,1
08/06/1993,0,0,1
08/13/1993,0,0,1
08/20/1993,0,0,1
08/27/1993,0,0,1
09/03/1993,0,0,0
09/10/1993,0,0,0
09/17/1993,0,0,0
09/24/1993,0,0,0
10/01/1993,0,0,0
10/08/1993,0,0,0
10/15/1993,0,0,0
10/22/1993,0,0,0
10/29/1993,0,0,0
11/05/1993,0,0,0
11/12/1993,0,0,0
11/19/1993,0,0,0
11/26/1993,0,0,0
12/03/1993,1,0,0
12/10/1993,1,0,0
12/17/1993,1,0,0
12/24/1993,1,0,0
12/31/1993,1,0,0
01/07/1994,1,0,0
01/14/1994,1,0,0
01/21/1994,1,0,0
01/28/1994,1,0,0
